location,Montería,Montería,Montería,Montería
lat,8.72702,8.72702,8.72702,8.72702
lon,-75.91984,-75.91984,-75.91984,-75.91984
asl,37.750,37.750,37.750,37.750
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Montería Temperature [2 m elevation corrected],Montería Relative Humidity [2 m],Montería Wind Speed [10 m],Montería Wind Direction [10 m]
20210103T0000,24.641878,90.0,6.489992,236.30994
20210103T0100,24.391878,91.0,5.3999996,233.1301
20210103T0200,24.131878,92.0,4.8433046,228.01279
20210103T0300,23.821878,94.0,4.39436,214.99202
20210103T0400,23.531878,96.0,4.829907,206.56505
20210103T0500,23.221878,96.0,5.154415,204.77515
20210103T0600,23.001877,96.0,5.1919937,213.69006
20210103T0700,24.361877,95.0,7.386582,223.02507
20210103T0800,26.721878,83.0,8.654987,225.0
20210103T0900,27.551878,78.0,8.161764,221.42366
20210103T1000,27.701878,75.0,6.6087217,209.35776
20210103T1100,29.061878,69.0,5.4833565,203.1986
20210103T1200,29.671877,65.0,6.12,208.0725
20210103T1300,30.381878,62.0,6.3690495,227.29062
20210103T1400,30.781878,60.0,6.6185193,247.61987
20210103T1500,29.751877,62.0,7.2805495,261.46924
20210103T1600,29.381878,63.0,8.707238,262.875
20210103T1700,28.941877,65.0,10.08,270.0
20210103T1800,27.721878,69.0,9.028754,274.5739
20210103T1900,26.441877,74.0,9.178235,281.30994
20210103T2000,25.581877,78.0,8.427383,289.98312
20210103T2100,24.841877,82.0,7.729527,297.75854
20210103T2200,24.091877,87.0,7.4128532,299.0546
20210103T2300,23.561878,90.0,6.9527545,291.2505
20210104T0000,23.251877,92.0,6.9899354,281.88867
20210104T0100,23.081877,93.0,6.849467,273.0128
20210104T0200,22.981878,93.0,6.849467,273.0128
20210104T0300,22.961878,92.0,6.489992,273.17984
20210104T0400,23.131878,91.0,6.12,270.0
20210104T0500,23.301878,90.0,6.12,270.0
20210104T0600,23.801878,88.0,4.32,270.0
20210104T0700,24.351877,90.0,2.5959969,213.69006
20210104T0800,26.431877,81.0,6.792466,237.99463
20210104T0900,27.841877,75.0,4.8433046,221.98721
20210104T1000,27.401878,75.0,4.5820518,225.0
20210104T1100,28.771877,70.0,4.802999,257.00537
20210104T1200,28.401878,69.0,6.9899354,258.11133
20210104T1300,30.101877,63.0,7.771331,256.6075
20210104T1400,29.001877,65.0,7.8625183,254.0546
20210104T1500,29.871878,63.0,8.049845,259.69516
20210104T1600,29.741879,63.0,8.311245,265.03027
20210104T1700,29.111877,65.0,9.3876505,265.6013
20210104T1800,27.171877,71.0,7.928178,267.39746
20210104T1900,26.271877,75.0,7.5942073,264.5597
20210104T2000,25.381878,82.0,7.6367526,261.8699
20210104T2100,24.661879,89.0,7.072878,255.25644
20210104T2200,24.321878,93.0,6.989936,235.49149
20210104T2300,24.021877,97.0,7.127636,225.0
20210105T0000,23.741879,98.0,7.928177,230.52754
20210105T0100,23.541878,98.0,9.0,233.1301
20210105T0200,23.431877,98.0,9.449572,229.63547
20210105T0300,23.421877,95.0,9.726664,231.009
20210105T0400,23.271877,92.0,8.39657,239.03624
20210105T0500,23.231878,91.0,6.618519,225.0
20210105T0600,22.771877,92.0,5.8048253,209.74489
20210105T0700,23.221878,92.0,5.2416787,195.9454
20210105T0800,26.161879,80.0,6.849467,176.98721
20210105T0900,27.781878,74.0,7.2,143.1301
20210105T1000,28.941877,65.0,6.193674,125.537674
20210105T1100,29.951878,59.0,3.6,126.869896
20210105T1200,30.781878,55.0,4.198285,120.96376
20210105T1300,31.331877,52.0,2.2768397,108.434944
20210105T1400,31.791878,49.0,2.0991426,30.963745
20210105T1500,31.881878,48.0,3.6179552,5.7105865
20210105T1600,31.621878,48.0,3.96,360.0
20210105T1700,31.041878,50.0,4.6800003,337.38013
20210105T1800,29.231878,56.0,7.7043357,307.40536
20210105T1900,26.561878,72.0,10.144082,297.47443
20210105T2000,25.141878,85.0,7.342588,281.30994
20210105T2100,24.531878,91.0,7.208994,272.8624
20210105T2200,24.191877,94.0,6.849467,266.9872
20210105T2300,24.041878,96.0,6.638072,257.4712
20210106T0000,23.861877,98.0,8.287822,235.61966
20210106T0100,23.661879,98.0,9.693296,238.67131
20210106T0200,23.281878,98.0,7.4128532,240.9454
20210106T0300,22.841877,98.0,6.989936,235.49149
20210106T0400,22.521877,98.0,6.4096174,231.84277
20210106T0500,22.521877,97.0,6.8777895,222.8789
20210106T0600,22.241879,96.0,6.193674,215.53769
20210106T0700,22.471878,95.0,5.00128,210.25644
20210106T0800,26.151878,79.0,5.4833565,203.1986
20210106T0900,27.721878,71.0,4.1046314,232.12502
20210106T1000,29.091877,65.0,6.162207,263.29016
20210106T1100,30.361877,57.0,6.12,270.0
20210106T1200,31.191877,53.0,5.04,270.0
20210106T1300,31.781878,49.0,5.4477882,277.59464
20210106T1400,32.011875,48.0,7.6367526,278.1301
20210106T1500,31.941877,48.0,9.6932955,285.06848
20210106T1600,31.391878,49.0,11.440978,282.72437
20210106T1700,30.211878,54.0,12.9249525,282.875
20210106T1800,27.551878,66.0,11.966954,285.70865
20210106T1900,26.221878,75.0,11.966954,285.70865
20210106T2000,25.391878,81.0,6.439876,296.56506
20210106T2100,24.891878,85.0,5.7599998,270.0
20210106T2200,24.621878,89.0,5.8048253,262.875
20210106T2300,24.521877,91.0,5.8048253,262.875
20210107T0000,24.111877,93.0,5.506941,258.69006
20210107T0100,23.751877,94.0,5.4833565,246.8014
20210107T0200,23.441877,95.0,5.634891,243.43495
20210107T0300,23.151878,96.0,5.3999996,233.1301
20210107T0400,22.841877,97.0,5.3517847,222.27368
20210107T0500,22.881878,97.0,4.6938257,212.47119
20210107T0600,22.801878,97.0,3.8773184,201.8014
20210107T0700,23.121878,95.0,3.0758414,200.55605
20210107T0800,26.191877,82.0,4.896529,252.89728
20210107T0900,28.261877,70.0,5.0528407,265.91437
20210107T1000,29.931877,61.0,6.9899354,281.88867
20210107T1100,31.021877,56.0,7.0911775,293.9625
20210107T1200,31.571878,53.0,6.763786,295.2011
20210107T1300,31.911879,51.0,6.28713,293.6294
20210107T1400,32.031876,51.0,5.815978,291.8014
20210107T1500,31.911879,51.0,6.9247384,297.89728
20210107T1600,31.271877,54.0,8.891343,301.7595
20210107T1700,30.241879,58.0,9.885262,303.11136
20210107T1800,28.101877,67.0,9.826088,298.44293
20210107T1900,26.471878,76.0,10.829958,291.44775
20210107T2000,25.611877,82.0,6.792466,302.00537
20210107T2100,25.131878,87.0,6.151683,290.55603
20210107T2200,24.841877,89.0,5.4119864,266.1859
20210107T2300,24.481878,94.0,5.815978,248.1986
20210108T0000,24.011877,96.0,6.489992,250.55997
20210108T0100,23.691877,98.0,6.12,241.92752
20210108T0200,23.501877,98.0,6.638072,229.39871
20210108T0300,24.151878,95.0,6.3690495,222.7094
20210108T0400,24.601877,93.0,5.3517847,227.72632
20210108T0500,24.891878,93.0,4.39436,235.00798
20210108T0600,25.091877,92.0,5.0142193,248.9625
20210108T0700,25.841877,90.0,5.5887027,255.06857
20210108T0800,27.281878,79.0,4.3498964,24.443954
20210108T0900,28.541878,72.0,3.671294,11.309921
20210108T1000,29.631878,67.0,3.219938,296.56506
20210108T1100,29.111877,68.0,9.227524,249.44395
20210108T1200,28.051878,70.0,13.0447235,242.02054
20210108T1300,29.451878,66.0,12.10157,247.24902
20210108T1400,28.141878,69.0,10.8955765,262.40536
20210108T1500,28.691877,68.0,11.879999,270.0
20210108T1600,28.551878,68.0,11.165805,271.84763
20210108T1700,28.441877,69.0,10.805999,268.09085
20210108T1800,26.571878,77.0,7.5599995,270.0
20210108T1900,25.491879,83.0,7.9526596,275.19443
20210108T2000,25.251877,86.0,6.130579,266.63354
20210108T2100,25.101877,88.0,6.2145634,259.992
20210108T2200,24.971878,91.0,6.6087217,240.64226
20210108T2300,24.911879,95.0,9.449572,229.63547
20210109T0000,24.871878,95.0,10.383987,236.30994
20210109T0100,24.621878,95.0,9.227524,249.44395
20210109T0200,24.221878,95.0,8.707238,262.875
20210109T0300,24.191877,93.0,8.311245,265.03027
20210109T0400,24.081877,93.0,5.937272,255.96376
20210109T0500,23.791878,94.0,5.815978,248.1986
20210109T0600,23.581877,95.0,5.00128,239.74356
20210109T0700,24.401878,92.0,5.3517847,199.65382
20210109T0800,26.641878,82.0,6.162207,186.70984
20210109T0900,26.891878,81.0,6.849467,176.98721
20210109T1000,26.411879,83.0,5.0911684,171.8699
20210109T1100,26.641878,80.0,3.396233,212.00539
20210109T1200,26.861877,78.0,6.162207,263.29016
20210109T1300,27.371878,77.0,8.669949,274.76364
20210109T1400,27.331877,76.0,9.178235,281.30994
20210109T1500,27.311878,77.0,8.759178,279.46234
20210109T1600,26.991879,78.0,7.2,270.0
20210109T1700,26.691877,80.0,6.489992,250.55997
20210109T1800,25.821878,84.0,5.00128,239.74356
20210109T1900,25.191877,86.0,5.495161,238.3925
20210109T2000,25.041878,87.0,5.04,270.0
20210109T2100,24.981878,90.0,2.7416782,293.1986
20210109T2200,24.801878,92.0,3.6179552,275.7106
20210109T2300,24.931877,95.0,4.6938252,274.3987
20210110T0000,24.971878,96.0,5.0911684,278.1301
20210110T0100,24.581877,96.0,5.0911684,278.1301
20210110T0200,24.251877,96.0,4.802999,282.99463
20210110T0300,24.021877,96.0,4.6938252,274.3987
20210110T0400,23.891878,96.0,3.96,270.0
20210110T0500,23.821878,97.0,2.5959969,236.30994
20210110T0600,23.691877,98.0,2.3051248,218.65982
20210110T0700,24.171877,95.0,2.7416782,203.1986
20210110T0800,26.071878,87.0,1.484318,165.96376
20210110T0900,26.791878,80.0,2.4149535,26.565033
20210110T1000,27.431877,77.0,4.6938257,32.47119
20210110T1100,28.841877,71.0,5.692099,34.69516
20210110T1200,29.221878,67.0,4.3349743,41.63353
20210110T1300,30.421877,62.0,3.563818,44.999985
20210110T1400,29.941877,63.0,3.5455887,66.037506
20210110T1500,29.901878,63.0,3.8773184,68.19859
20210110T1600,29.431877,64.0,3.319036,77.47118
20210110T1700,29.171877,66.0,2.5455842,98.1301
20210110T1800,28.091877,70.0,1.484318,165.96376
20210110T1900,27.751877,72.0,2.0991426,239.03624
20210110T2000,27.301878,76.0,3.219938,243.43495
20210110T2100,27.001877,81.0,4.1046314,254.74487
20210110T2200,26.261877,88.0,5.3999996,270.0
20210110T2300,25.761877,92.0,5.8603754,280.61966